species,lifespan
bunopithecus hoolock,0
burramys parvus,4
buteo jamaicensis,28.83
buteo lagopus,1.7
buteo lineatus,2.13
buteo platypterus,12
buteo regalis,23.67
buteo swainsoni,19.58
buteogallus anthracinus,13.5
butorides sundevalli,9.75
butorides virescens,7.92
cacajao calvus,18
cacajao melanocephalus,12
cacatua alba,30
cacatua galerita,40
cacatua leadbeateri,55
caiman crocodilus,60
cairina moschata,7.5
calcarius ornatus,4
calidris alba,13
calidris alpina,5.4
calidris canutus rufa,7
calidris maritima,5
calidris pusilla,16
callaeas cinereus,11
callinectes sapidus,2
callipepla californica,6.92
callisaurus draconoides,4
callithrix flaviceps,10
callithrix geoffroyi,10
callithrix jacchus,10
callithrix kuhlii,10
callithrix pygmaea,11.5
callorhinchus milii,15
callorhinus ursinus,25
calopteryx dimidiata,0.08
calosoma sycophanta,3
calothorax lucifer,4.08
caluromys derbianus,6.33
caluromys philander,3.4
calypte anna,8.5
calypte costae,9.17
calyptogena magnifica,25
calyptophractus retusus,13.5
cambarus diogenes,3
camelus dromedarius,40
campeloma decisum,6.5
camponotus pennsylvanicus,10
campostoma anomalum,6
campylorhynchus brunneicapillus,6.33
canachites canadensis,5.25
canis latrans,14.5
canis lupus,5
canis lupus dingo,14.8
canis lupus familiaris,29.5
canis rufus,4
canis simensis,12
capra caucasica cylindricornis,15
capra falconeri,12
capra ibex,14
capra pyrenaica,16
capra sibirica,17
capreolus capreolus,15
capricornis crispus,21
caprimulgus carolinensis,14.83
caprimulgus europaeus,11
caprimulgus vociferus,4
caracal caracal,12
caracara cheriway,17.58
carapus bermudensis,3
carassius auratus,41
carcharhinus amblyrhynchos,25
carcharhinus falciformis,23
carcharhinus leucas,13.7
carcharhinus longimanus,22
carcharhinus plumbeus,20
carcharias taurus,35
carcharodon carcharias,30
cardinalis cardinalis,15.75
cardinalis sinuatus,8.08
cardisoma guanhumi,11
carduelis tristis,0
caretta caretta,46
carpiodes carpio,3
carpiodes cyprinus,11
carpodacus mexicanus,11.58
carpodacus purpureus,2
carybdea sivickisi,0.12
carychium exiguum,1
castor canadensis,15
castor fiber,13.5
casuarius unappendiculatus,40
cathartes aura,10
catharus guttatus,9.33
catharus minimus,7.33
catoptrophorus semipalmatus,10.25
catostomus commersonii,17
cavia aperea,3
cavia intermedia,1.01
cavia porcellus,5
cebus albifrons,40
cebus apella,40
cebus capucinus,30
cebus olivaceus,42
celithemis amanda,0.08
centrocercus minimus,9
centrolene prosoblepon,5
centropomus undecimalis,18
centropyge potteri,6
cepaea nemoralis,2.3
cephalophus niger,11
cephalophus rufilatus,5
cephalophus silvicultor,11
cephalorhynchus commersonii,23
cephalorhynchus hectori,20
cepphus grylle,13.08
ceratitis capitata,0.1
ceratotherium simum,45
cercocebus agilis,20
cercocebus atys,18
cercocebus galeritus,19
cercocebus torquatus,30
cercopithecus ascanius,30
cercopithecus cephus,22
cercopithecus diana,20
cercopithecus mona,30
cercopithecus wolfi,23
certhia americana,4.58
certhia familiaris,2
cervus elaphus,20
ceuthophilus latens,0.21
chaetodipus fallax,0.42
chaetodipus formosus,5
chaetodipus nelsoni,2.08
chaetodipus penicillatus,1
chaetophractus nationi,14
chaetura pelagica,14
chaetura vauxi,5.08
chanos chanos,9
charadrius alexandrinus,11
charadrius melodus,14
charadrius semipalmatus,9.2
charadrius vociferus,10.92
chauliodus sloani,22.5
chelodina longicollis,34
chelonia mydas,75
chelydra serpentina,30
chinchilla chinchilla,9
chinchilla lanigera,10
chionoecetes opilio,19
chirocentrus dorab,6
chiropotes albinasus,17
chiroxiphia linearis,18
chlamydoselachus anguineus,25
chlamys opercularis,9
chlidonias niger,8.42
chlorocebus aethiops,31
chlorocebus sabaeus,13
choloepus hoffmanni,0
chondestes grammacus,7.83
chordeiles minor,4.5
chrosomus erythrogaster,2
chrysaora hysoscella,1
chrysochus auratus,0.14
chrysops atlanticus,0.12
chrysops excitans,1
chrysops frigidus,1
ciccaba nigrolineata,20
cicindela fulgida,0.83
cicindela hirticollis,2.5
cicindela lepida,3
cicindela scutellaris,2
ciconia ciconia,22
ciconia nigra,18
cimex pilosellus,0.58
cinclus cinclus,3
cinclus mexicanus,7.17
circus cyaneus,1.38
civettictis civetta,15
clangula hyemalis,15.3
clarias gariepinus,8
clupea harengus,22
coccinella septempunctata,1.5
coccinella transversoguttata,0.17
coccyzus americanus,4
coccyzus erythropthalmus,5
coendou prehensilis,17
coenobita perlatus,27.5
coereba flaveola,6.92
colaptes auratus,9.17
colias philodice,0.01
colinus virginianus,6
colobus angolensis,20
colobus guereza,20
colobus polykomos,30.5
coluber constrictor,10
columba fasciata,18.5
columba livia,6
columbicola columbae,0.11
columbina inca,7.75
condylura cristata,3.5
conepatus chinga,6
connochaetes gnou,20
connochaetes taurinus,20
contopus sordidulus,7
coptotermes formosanus,15
coragyps atratus,25.5
coregonus artedi,13
coregonus clupeaformis,50
coregonus hoyi,10
coregonus zenithicus,11.5
corvus brachyrhynchos,14.58
corvus caurinus,12
corvus corax,17.17
corvus frugilegus,22
corydalus cornutus,3
corynorhinus rafinesquii,10
corynorhinus townsendii,21
coryphaena hippurus,2
cotesia marginiventris,0.07
cottus bairdii,2
cottus carolinae,4
coturnicops noveboracensis,7
couesius plumbeus,4
cricetus cricetus,4
crocidura leucodon,3
crocidura russula,0.08
crocodylus acutus,65
crocodylus moreletii,60
crocodylus palustris,30
crocuta crocuta,25
crossarchus platycephalus,13.3
crotalus horridus,30
crotalus molossus,17.5
crotalus unicolor,16
cryptobranchus alleganiensis,30
cryptotis parva,1
ctenocephalides felis,3
ctenomys conoveri,3
ctenomys rionegrensis,3
ctenomys talarum,1.75
culaea inconstans,3
cuniculus paca,12.5
cuniculus taczanowskii,12.5
cuora amboinensis,30
cuterebra emasculator,1
cyanocitta cristata,7
cyanocitta stelleri,16.08
cyanocorax yncas,11.58
cyanopsitta spixii,29
cycleptus elongatus,10.5
cygnus atratus,40
cygnus buccinator,24
cygnus columbianus,20.15
cygnus cygnus,20
cygnus melancoryphus,30
cygnus olor,26.75
cynanthus latirostris,6.08
cynomys ludovicianus,1
cynopterus brachyotis,25
cyprinodon diabolis,0.75
cyprinus carpio,38
cystophora cristata,35
dactylopsila trivirgata,5
dama dama,25
damaliscus lunatus,15
danio rerio,1
daphnia magna,0.08
dasyatis americana,12.5
dasycercus cristicauda,6
dasyprocta punctata,10
dasypus novemcinctus,13.5
dasyurus hallucatus,1
dasyurus maculatus,3
dasyurus viverrinus,5
deinagkistrodon acutus,20
deirochelys reticularia,24
delphinapterus leucas,36
delphinus delphis,20
dendragapus obscurus,3
dendraster excentricus,10.5
dendrobates leucomelas,6
dendrobates tinctorius,5
dendrocopos leucotos,3.5
dendroctonus ponderosae,1
dendrogale murina,12
dendrohyrax arboreus,10
dendroica caerulescens,10
dendroica cerulea,4.92
dendroica chrysoparia,4
dendroica fusca,8
dendroica kirtlandii,9
dendroica magnolia,8
dendroica palmarum,6.58
dendroica pensylvanica,6.92
dendroica petechia,10.92
dendroica pinus,6
dendroica virens,5.92
dendrolagus inustus,10
dendrolagus matschiei,8
dendrortyx barbatus,3
dermacentor andersoni,3
dermacentor variabilis,0.92
dermatolepis dermatolepis,24
desmodus rotundus,12
diadema antillarum,6
diadema savignyi,4
diadophis punctatus,10
dicerorhinus sumatrensis,32
diceros bicornis,35
didelphis albiventris,1.67
didelphis aurita,2
didelphis marsupialis,2
didelphis virginiana,1.75
diomedea epomophora,58
diomedea exulans,34.58
dipodomys compactus,2
dipodomys microps,0.41
dispholidus typus,8
diuraphis noxia,0.25
dolichonyx oryzivorus,5
donax variabilis,2
dorosoma cepedianum,10
dosidicus gigas,1
dreissena bugensis,4.5
dreissena polymorpha,0
dromaius novaehollandiae,7
drymarchon couperi,17
dryocampa rubicunda,0.46
dryocopus pileatus,12.92
dryomys nitedula,5.5
dugong dugon,70
duliticola hoiseni,1
dumetella carolinensis,17.92
duttaphrynus melanostictus,4
dynastes hercules,2.83
echinometra lucunter,10
egretta caerulea,13.92
egretta thula,22
egretta tricolor,17.67
eidolon helvum,15
elaphurus davidianus,18
elephantulus rozeti,1.25
elephantulus rufescens,1
elephas maximus,65
eleutherodactylus coqui,1
elysia chlorotica,0.92
empidonax difficilis,6
empidonax flaviventris,4
empidonax traillii,11
empidonax virescens,10.75
emydoidea blandingii,73.5
emys marmorata,50
enallagma boreale,0.01
engraulis mordax,7
enhydra lutris,23
enterobius vermicularis,0.17
enteroctopus dofleini,4.75
entobdella soleae,0.54
epinephelus striatus,29
epioblasma obliquata,15
