species,lifespan
orchelimum vulgare,1
oreamnos americanus,18
ornithorhynchus anatinus,17
orthogeomys cavator,1.5
orthogeomys grandis,2
orthogeomys heterodus,1
orycteropus afer,18
oryctolagus cuniculus,9
oryx gazella,18
oryzomys galapagoensis,2
osteopilus septentrionalis,7.5
otaria flavescens,18
otus asio,20.67
otus flammeolus,7.92
otus kennicottii,13
ourebia ourebi,10
ovibos moschatus,14
ovis ammon,11.5
ovis aries vignei,10
ovis canadensis,19
oxyura jamaicensis,13.58
pachycondyla chinensis,1
pachyornis mappini,30
pagophilus groenlandicus,30
paguma larvata,10
pagurus bernhardus,0
palaemonetes paludosus,0.79
paleosuchus palpebrosus,30
pan paniscus,20
pan troglodytes,51
pandion haliaetus,26.17
panthera leo,14
panthera onca,11.5
panthera pardus,17
panthera tigris,9
pantholops hodgsonii,8
panulirus argus,12
panulirus cygnus,30
panulirus interruptus,20.5
papilio polytes,0.1
papilio troilus,0.02
papio cynocephalus,45
papio hamadryas,37
pappogeomys bulleri,5
parabuteo unicinctus,14.92
paracanthurus hepatus,30
paracheirodon axelrodi,1
paradoxurus hermaphroditus,20
paragordius varius,1
paralabrax clathratus,10
paralichthys californicus,30
paralithodes camtschaticus,25
parantechinus apicalis,2
parascalops breweri,3
parastichopus parvimensis,7.5
parula americana,5.75
parus atricapillus,12.5
parus bicolor,2.1
parus carolinensis,10.92
parus gambeli,10.08
parus rufescens,9.5
passer domesticus,15.75
passerella iliaca,10.33
passerina caerulea,5.9
passerina ciris,10.5
passerina cyanea,9.25
pavo cristatus,18
pelea capreolus,10
pelecanoides urinatrix,6.5
pelecanus conspicillatus,20
pelecanus erythrorhynchos,26.4
pelecanus occidentalis,27.83
penaeus monodon,2.5
peponocephala electra,30
percina caprodes,4
percina evides,4
periphylla periphylla,30
perisoreus canadensis,15.42
perognathus fasciatus,1.08
perognathus flavescens,1.5
peromyscus attwateri,0.57
peromyscus aztecus,1.25
peromyscus californicus,1.12
peromyscus eremicus,1
peromyscus gossypinus,0.38
peromyscus keeni,1
peromyscus leucopus,1
peromyscus maniculatus,1
peromyscus polionotus,1.5
peromyscus truei,1
petauroides volans,6
petaurus australis,10
petaurus breviceps,14
petrogale persephone,10
petromyzon marinus,3.25
phacochoerus aethiopicus,10
phacochoerus africanus,16.5
phaeognathus hubrichti,11
phalacrocorax auritus,6.1
phalacrocorax brasilianus,12.58
phalacrocorax carbo,22
phalaenoptilus nuttallii,3
phalaropus lobatus,5
phascolarctos cinereus,13
phasianus colchicus,3
phenacobius mirabilis,4
pheucticus ludovicianus,13
pheucticus melanocephalus,11.92
philander opossum,2.5
philantomba monticola,12
phoca largha,32
phoca vitulina,40
phocarctos hookeri,23
phocoena phocoena,13
phocoenoides dalli,16.5
phoebastria immutabilis,31.5
phoebastria nigripes,40.67
phoenicoparrus jamesi,25
phoenicopterus chilensis,50
phoenicopterus roseus,50
phoenicopterus ruber,25
pholcus phalangioides,3
photinus pyralis,0.05
physeter catodon,77
pica hudsonia,15
picoides borealis,16.08
picoides pubescens,11.92
picoides scalaris,4.5
picoides villosus,15.92
pimephales notatus,2
pimephales promelas,2.5
pinctada margaritifera,15
pinguinus impennis,22.5
pipistrellus pipistrellus,9
pipistrellus subflavus,14.8
piranga ludoviciana,8
piranga olivacea,10.08
piranga rubra,7.92
pisaster ochraceus,20
pitangus sulphuratus,6.92
pithecia pithecia,14
pithecophaga jefferyi,40
pituophis catenifer,13.5
placopecten magellanicus,7
planigale ingrami,1.3
planococcus ficus,0.19
platanista gangetica,20
platanista minor,28
plecotus auritus,15
plecotus austriacus,15
plectrophenax nivalis,9.58
plegadis chihi,14.5
plestiodon fasciatus,6
plestiodon obsoletus,3
plethobasus cyphyus,30
plethodon cylindraceus,7.5
plethodon jordani,9.8
pleurobema clava,50
pleurobema coccineum,20
pluvialis dominica,15
podiceps auritus,5.17
podiceps cristatus,11.8
podiceps grisegena,5
podilymbus podiceps,5
poelagus marjorita,4
polemaetus bellicosus,14
polioptila caerulea,4.17
polistes fuscatus,1
pollachius virens,25
polyodon spathula,55
pomoxis annularis,3
pomoxis nigromaculatus,10
pongo abelii,51
pongo pygmaeus,59
pontoporia blainvillei,12
porcellio scaber,1.29
porocephalus crotali,8
potamochoerus larvatus,20
potamochoerus porcus,15
potos flavus,29
premnas biaculeatus,8
presbytis thomasi,20
priodontes maximus,13.5
prionace glauca,15
prionailurus bengalensis,4
pristiophorus cirratus,15
procapra gutturosa,
procapra przewalskii,8
procavia capensis,8.5
procolobus verus,20
procyon cancrivorus,14
procyon lotor,5
progne subis,13.75
propithecus coquereli,27
propithecus perrieri,15
prosthogonimus macrorchis,0.32
proteus anguinus,68.5
protonotaria citrea,8.08
przewalskium albirostris,18
psaltriparus minimus,8.42
psammobates pardalis,100
psammomys obesus,1.17
pseudacris brachyphona,5
pseudacris streckeri,2
pseudacris triseriata,5
pseudemys rubriventris,47.5
pseudocheirus peregrinus,5
pseudochirulus herbertensis,5
pseudochirulus mayeri,4.5
pseudois nayaur,16
pseudomys higginsi,1.5
pseudorca crassidens,60
psittacus erithacus,22.7
pterois volitans,10
pteromylaeus bovinus,14
pteromys volans,3.8
pteropus alecto,4.5
pteropus poliocephalus,3.37
pteropus rufus,30
pteropus vampyrus,15
pthirus pubis,0.08
pudu puda,10
puffinus gravis,7.08
pulex irritans,2
pulsatrix perspicillata,35
puma concolor,19
pusa caspica,35
pusa hispida,21.5
pycnopodia helianthoides,4
pygoscelis adeliae,10.5
pygoscelis papua,13
pylodictis olivaris,28
pyrgus centaureae,0.12
pyrocephalus rubinus,5.5
python regius,10
python reticulatus,20
quadrula fragosa,22
quiscalus mexicanus,12.5
quiscalus quiscula,22.92
rabidosa rabida,2
raja clavata,13.5
raja eglanteria,5
rallus elegans,7
ramphastos toco,26
rana boylii,3
rana luteiventris,8
rana temporaria,14
rangifer tarandus,12.5
rattus exulans,1
rattus lutreolus,2.4
rattus norvegicus,2
rattus rattus,1
recurvirostra americana,14
redunca arundinum,11
redunca fulvorufula,12
regulus calendula,5.58
reithrodon auritus,0.31
reithrodontomys megalotis,1.5
reithrodontomys raviventris,1.5
rhincodon typus,150
rhinella marina,10
rhinichthys cataractae,3
rhinobatos productus,13.5
rhinoceros unicornis,40
rhinolophus ferrumequinum,30
rhinolophus hipposideros,3.5
rhombomys opimus,3
rhopalosiphum cerasifoliae,0.06
rhopalosiphum maidis,0.07
rhynchocyon chrysopygus,4
rhynchocyon cirnei,4.5
riparia riparia,9
rissa tridactyla,25.58
rostrhamus sociabilis,14.67
rousettus aegyptiacus,9
rucervus duvaucelii,20
rupicapra pyrenaica,22
rupicapra rupicapra,20
rusa timorensis,17.5
rusa unicolor,20
rynchops niger,20
saccopteryx bilineata,6
saguinus nigricollis,13.9
saguinus tripartitus,6
saiga tatarica,12
saimiri sciureus,21
saimiri vanzolinii,15
salmo salar,5
salmo trutta,38
salpingotus pallidus,2.5
salticus scenicus,1.5
salvelinus confluentus,11
salvelinus fontinalis,24
salvelinus namaycush,41
sander canadensis,7.5
sander vitreus,16.5
sarcophilus harrisii,5
sarcoptes scabiei,0.12
sarotherodon melanotheron,9
sauromalus ater,15
sayornis phoebe,10.33
scalopus aquaticus,3
scapanus orarius,3.5
scaphirhynchus platorynchus,30
scarus rivulatus,10
sceloporus undulatus,4
schistosoma mansoni,0.22
sciaenops ocellatus,35
sciurus carolinensis,12.5
sciurus granatensis,7
sciurus niger,0.58
sciurus variegatoides,12
sciurus vulgaris,12
scolia dubia,0.38
scolopax minor,20.92
scytodes thoracica,2.5
sebastes caurinus,55
seiurus aurocapilla,11
seiurus motacilla,8
seiurus noveboracensis,8.92
sekeetamys calurus,2.08
selasphorus platycercus,1.75
selasphorus rufus,8.92
selasphorus sasin,4
semicossyphus pulcher,53
semnopithecus entellus,24
semotilus atromaculatus,5
sepia apama,1
sepia officinalis,1.5
sepioteuthis lessoniana,0.47
serinus mozambicus,2.5
seriola lalandi,5
setophaga ruticilla,10
sialia mexicana,6.08
sialia sialis,10.42
sigmodon fulviventer,0.17
sigmodon hispidus,0.5
silurus glanis,25
simulium venustum,0.07
sirex noctilio,1
sitta canadensis,7.5
sitta carolinensis,10
sitta pusilla,5.8
sitta pygmaea,3.5
solenopsis molesta,1
solenopsis richteri,5
somateria fischeri,8.83
somateria mollissima,22.58
somateria spectabilis,18
somatochlora hineana,3
sorex alpinus,1.33
sorex araneus,2
sorex arcticus,1.5
sorex cinereus,2
sorex dispar,2
sorex fumeus,1
sorex merriami,1
sorex minutus,1.75
sorex palustris,1.5
sorex tundrensis,1.25
sotalia fluviatilis,35
sousa chinensis,40
sousa teuszii,0
spalax ehrenbergi,3
sparisoma viride,8
spea bombifrons,13
spea intermontana,12
speoplatyrhinus poulsoni,7.5
spermophilus beecheyi,6
spermophilus elegans,4
spermophilus lateralis,7
spermophilus parryii,9
spermophilus saturatus,4
speyeria aphrodite,1
speyeria idalia,0.19
sphecius speciosus,1.08
spheniscus demersus,27
spheniscus magellanicus,27.5
spheniscus mendiculus,17.5
sphenodon guntheri,100
sphiggurus insidiosus,15
sphodros rufipes,7
sphyrapicus ruber,2.5
sphyrapicus varius,6.75
sphyrna lewini,21
spilocuscus maculatus,11
spirula spirula,1.5
spizella arborea,10.75
spizella passerina,9.75
spizella pusilla,8.75
spodoptera exigua,0.09
squalus acanthias,60
squatina californica,35
stagonopleura guttata,6
stegostoma fasciatum,25
stellula calliope,5.5
stenacron interpunctatum,0.02
stenella attenuata,46
stenella coeruleoalba,50
steno bredanensis,32
stercorarius longicaudus,8.5
stercorarius parasiticus,32.08
stereolepis gigas,75
sterna forsteri,15.83
sterna hirundo,9.5
sterna paradisaea,34
strix aluco,4
strix nebulosa,12.75
strix occidentalis,21
strix varia,18.17
strongylocentrotus franciscanus,200
sturnella magna,5
sturnira lilium,20
sturnus vulgaris,15.25
sula dactylatra,25.5
sula leucogaster,27.2
sula sula,23
suncus etruscus,2.25
suncus murinus,1.5
suricata suricatta,1
surnia ulula,10
sus celebensis,10
sus salvanius,7.5
sus scrofa,12.5
sus verrucosus,8
sylvilagus aquaticus,1.8
sylvilagus floridanus,5
sylvilagus obscurus,1
sylvilagus palustris,4
sylvilagus robustus,3
sylvilagus transitionalis,3
synaptomys cooperi,1
syncerus caffer,11
synchiropus splendidus,12.5
tabanus similis,3
tachycineta bicolor,2.7
tachyglossus aculeatus,45
tadarida aegyptiaca,10
tadarida brasiliensis,8
taeniopygia guttata,4.5
talpa europaea,2.5
tamias alpinus,2.5
tamias amoenus,5
tamias merriami,5
tamias palmeri,2.5
tamias ruficaudus,8
tamias sibiricus,3.5
tamias speciosus,3
tamias striatus,8
tamias townsendii,7
tamiasciurus hudsonicus,5
taphozous melanopogon,12.5
tapinoma sessile,0.62
tapirus indicus,25
tapirus terrestris,30
taricha granulosa,18
tarsipes rostratus,2
tarsius bancanus,8
tarsius tarsier,10
taxidea taxus,14
tayassu pecari,13.3
tegenaria agrestis,2
tenodera aridifolia,0.62
teredo navalis,2
terrapene carolina,100
terrapene ornata,40
tetracerus quadricornis,10
tetramorium caespitum,5
tetrao urogallus,3.5
tetrapturus audax,9
thalassarche melanophrys,30
thamnophis sirtalis,2
thelia bimaculata,1.17
theodoxus fluviatilis,3.5
theragra chalcogramma,31
theropithecus gelada,20
thomomys bottae,4.8
thomomys talpoides,21
thor amboinensis,3.5
threskiornis aethiopicus,20
thryonomys gregorianus,3
thryonomys swinderianus,4.3
thryothorus ludovicianus,9.25
thunnus alalunga,13
thunnus thynnus,15
thylacinus cynocephalus,8
thylogale billardierii,5.5
thylogale stigmatica,9.7
thymallus arcticus,32
tlacuatzin canescens,1
tmemophlebia coquilletti,0.08
tomistoma schlegelii,70
toxostoma curvirostre,10.75
toxostoma rufum,14.14
trachemys scripta,42
trachinotus falcatus,23
trachypithecus auratus,20
trachypithecus cristatus,20
tragelaphus buxtoni,17.5
tragelaphus imberbis,10
tremarctos ornatus,20
triaenodon obesus,25
triakis semifasciata,26
triatoma infestans,0.62
triatoma sanguisuga,3
trichechus inunguis,30
trichechus manatus,30
trichosurus arnhemensis,12
trichosurus caninus,7
trichosurus cunninghami,12
trichosurus vulpecula,13
trimerotropis maritima,1
tringa flavipes,4.75
tringa glareola,9.2
triops longicaudatus,0.15
tripneustes ventricosus,2.5
troglodytes aedon,9
troglodytes troglodytes,6.75
tupaia glis,2.5
tupaia tana,12
turdus migratorius,2
tursiops aduncus,40
tursiops truncatus,25
tympanuchus pallidicinctus,13
typhlichthys subterraneus,4
tyrannus verticalis,6
tyto alba,1.74
uca longisignalis,1.5
uca pugnax,1.25
umbra limi,8
uria aalge,26.42
uria lomvia,29
urocyon cinereoargenteus,8
urosaurus ornatus,3
ursus americanus,10
ursus arctos,25
ursus maritimus,30
ursus thibetanus,25
valvata tricarinata,2
vanellus vanellus,3.5
vanessa cardui,1
varanus komodoensis,50
varanus salvadorii,16
varecia rubra,20
varecia variegata,19
vermivora chrysoptera,7.92
vermivora luciae,5.83
vermivora peregrina,6.42
vermivora pinus,2.5
vicugna vicugna,20
villa alternata,0.08
vipera berus,10
vireo gilvus,13
vireo olivaceus,10
vireo philadelphicus,10.6
vombatus ursinus,13.5
vulpes bengalensis,10
vulpes cana,10
vulpes chama,10
vulpes ferrilata,9
vulpes macrotis,5.5
vulpes pallida,10
vulpes rueppellii,6
vulpes velox,4.5
vulpes vulpes,3
vulpes zerda,10
vultur gryphus,50
wallabia bicolor,12
wilsonia canadensis,7.92
wilsonia citrina,8
wyeomyia smithii,0.11
xanthocephalus xanthocephalus,12.5
xenopsylla cheopis,1.04
xenopus laevis,16
xerus erythropus,3
xestospongia muta,2300
xyrauchen texanus,50
zalophus californianus,17
zalophus wollebaeki,20
zapus hudsonius,1
zapus princeps,6
zebrasoma flavescens,30
zebrasoma veliferum,27
zenaida asiatica,21.75
zenaida macroura,1.5
ziphius cavirostris,36
zonotrichia albicollis,9.67
zonotrichia leucophrys,13.3
zonotrichia querula,11.67
zootoca vivipara,8
zosterops pallidus,7.8
